REP,DOC,PLAN_CALLS
AEGA-8OM3JB,AEGA-57A2HM,6
AEGA-56WEHN,AEGA-5798AR,1
AIJA-GLRI1,AEGA-57944Q,3
AEGA-8OM3JB,AEGA-57AT4X,3
AIJA-GO6K8T,AIJA-3D4FMB,3
AEGA-6N7PT5,AEGA-57AAAA,6
AEGA-56WEHD,AEGA-57CQTH,8
AEGA-8OM3JB,AEGA-57A2HH,6
AIJA-201VQD,AEGA-579U6X,4
AIJA-GLRI1,AEGA-579OSQ,3
AIJA-201VQD,AEGA-57412Y,3
AEGA-56WEHN,AEGA-57BQNP,3
AEGA-8OM3JB,AIJA-37AGX6,3
AIJA-201VQD,AIJA-J9P8FQ,2
AIJA-GO6K8T,AEGA-57DUNB,1
AEGA-8OM3JB,AEGA-57E1DT,2
AIJA-201VQD,AEGA-57EAQA,3
AEGA-56WEHD,AEGA-5791TF,4
AIJA-201VQD,AEGA-576GWY,5
AIJA-201VQD,AEGA-57479T,2
AIJA-201VQD,AEGA-5741ZY,2
AIJA-201VQD,AEGA-573CZV,4
AEGA-56WEHN,AEGA-5793JB,3
AEGA-6N7PT5,AEGA-57D713,2
AIJA-201VQD,AEGA-577CS3,4
AEGA-56WEHN,AEGA-57CS8D,2
AIJA-201VQD,AEGA-5746O8,4
AIJA-NGZHCO,AEGA-579ZVT,2
AEGA-6N7PT5,AEGA-57AT56,6
AIJA-NGZHDP,AEGA-57966R,3
AEGA-8OM3JB,AEGA-5798KB,12
AIJA-H30A51,AEGA-57BV3A,4
AIJA-201VQD,AEGA-57CSK6,3
AIJA-201VQD,AEGA-57A4QK,6
AEGA-8OM3JB,AEGA-57AVUE,3
AEGA-56WEHN,AEGA-57C56E,3
AIJA-201VQD,AEGA-57CO4Y,3
AIJA-H30A51,AEGA-579BCY,2
AEGA-8OM3JB,AEGA-579EFN,3
AIJA-201VQD,AEGA-57BR2Y,3
AEGA-56WEHD,AEGA-73HX1N,3
AEGA-6N7PT5,AEGA-57E333,6
AEGA-8OKA3V,AEGA-57D6XL,3
AIJA-H30A51,AEGA-5JOO0J,1
AEGA-6N7PT5,AEGA-57A3MQ,6
AEGA-56WEHD,AEGA-57A0FW,5
AEGA-8OKA3V,AEGA-57D7ZV,1
AIJA-GO6K8T,AEGA-57C9CG,3
AIJA-GO6K8T,AEGA-57D40M,1
AIJA-GLRI1,AEGA-57D6YU,3
AIJA-GO6K8T,AEGA-5JK9XG,3
AIJA-201VQD,AEGA-574L92,4
AEGA-8OM3JB,AEGA-6DIS9D,3
AIJA-H30A51,AIJA-1TU18N,1
AEGA-56WEHD,AEGA-57ABUL,5
AIJA-201VQD,AEGA-5Q3GXP,3
AIJA-NGZHCO,AEGA-57D2IK,2
AEGA-6N7PT5,AEGA-57CDEG,6
AIJA-H30A51,AEGA-6VVJ8J,1
AEGA-6N7PT5,AEGA-57CFR9,9
AEGA-8OM3JB,AEGA-57A12H,3
AIJA-GLRI1,AIJA-16UVAS,3
AEGA-56WEHN,AEGA-57A91M,3
AEGA-8OKA3V,AEGA-57C28K,3
AEGA-56WEHN,AEGA-579B0V,1
AIJA-201VQD,AEGA-579YOM,3
AEGA-6N7PT5,AEGA-57CB49,3
AEGA-6N7PT5,AEGA-76QUOQ,9
AIJA-GO6K8T,AEGA-579UGZ,3
AIJA-GO6K8T,AEGA-5Z174Z,3
AEGA-8OM3JB,AEGA-579URQ,3
AIJA-GO6K8T,AEGA-57C88T,6
AIJA-201VQD,AIJA-6JICS2,2
AEGA-8OM3JB,AEGA-5799SM,3
AIJA-GLRI1,AEGA-57CDOC,3
AEGA-8OM3JB,AEGA-579UPX,3
AIJA-GO6K8T,AEGA-579VFX,3
AIJA-201VQD,AEGA-7UYPQE,2
AIJA-H30A51,AEGA-5793A5,3
AEGA-56WEHN,AEGA-57E0IS,2
AEGA-6N7PT5,AEGA-579TPH,9
AIJA-GLRI1,AEGA-57D4KJ,3
AEGA-8OKA3V,AEGA-57BQ0T,4
AEGA-56WEHD,AEGA-57DU6O,10
AIJA-201VQD,AEGA-574ONY,4
AIJA-201VQD,AEGA-5743LW,3
AIJA-GO6K8T,AIJA-3JBK8N,1
AIJA-201VQD,AEGA-576K3S,4
AEGA-8OKA3V,AEGA-57D77D,2
AEGA-6N7PT5,AEGA-57AVRW,9
